run_number,model_name,metric,class,value
1,Base distil-mBERT,precision,negative,0.6398
1,Fine-tuned distil-mBERT,precision,negative,0.6627
1,Base RuBERT,precision,negative,0.523
1,Fine-tuned RuBERT,precision,negative,0.6818
1,Base mBERT,precision,negative,0.6016
1,Fine-tuned mBERT,precision,negative,0.6473
1,Base distil-mBERT,precision,neutral,0.9201
1,Fine-tuned distil-mBERT,precision,neutral,0.9458
1,Base RuBERT,precision,neutral,0.9
1,Fine-tuned RuBERT,precision,neutral,0.939
1,Base mBERT,precision,neutral,0.9345
1,Fine-tuned mBERT,precision,neutral,0.9359
1,Base distil-mBERT,precision,positive,0.7413
1,Fine-tuned distil-mBERT,precision,positive,0.7785
1,Base RuBERT,precision,positive,0.6612
1,Fine-tuned RuBERT,precision,positive,0.7793
1,Base mBERT,precision,positive,0.7092
1,Fine-tuned mBERT,precision,positive,0.8099
1,Base distil-mBERT,precision,macro avg,0.7671
1,Fine-tuned distil-mBERT,precision,macro avg,0.7957
1,Base RuBERT,precision,macro avg,0.6947
1,Fine-tuned RuBERT,precision,macro avg,0.8
1,Base mBERT,precision,macro avg,0.7484
1,Fine-tuned mBERT,precision,macro avg,0.7977
1,Base distil-mBERT,precision,weighted avg,0.8221
1,Fine-tuned distil-mBERT,precision,weighted avg,0.8504
1,Base RuBERT,precision,weighted avg,0.7686
1,Fine-tuned RuBERT,precision,weighted avg,0.8502
1,Base mBERT,precision,weighted avg,0.8147
1,Fine-tuned mBERT,precision,weighted avg,0.8503
1,Base distil-mBERT,recall,negative,0.7588
1,Fine-tuned distil-mBERT,recall,negative,0.8492
1,Base RuBERT,recall,negative,0.7437
1,Fine-tuned RuBERT,recall,negative,0.8291
1,Base mBERT,recall,negative,0.7588
1,Fine-tuned mBERT,recall,negative,0.8392
1,Base distil-mBERT,recall,neutral,0.8703
1,Fine-tuned distil-mBERT,recall,neutral,0.8604
1,Base RuBERT,recall,neutral,0.8424
1,Fine-tuned RuBERT,recall,neutral,0.8588
1,Base mBERT,recall,neutral,0.867
1,Fine-tuned mBERT,recall,neutral,0.8867
1,Base distil-mBERT,recall,positive,0.731
1,Fine-tuned distil-mBERT,recall,positive,0.7759
1,Base RuBERT,recall,positive,0.5586
1,Fine-tuned RuBERT,recall,positive,0.8034
1,Base mBERT,recall,positive,0.6897
1,Fine-tuned mBERT,recall,positive,0.7345
1,Base distil-mBERT,recall,macro avg,0.7867
1,Fine-tuned distil-mBERT,recall,macro avg,0.8285
1,Base RuBERT,recall,macro avg,0.7149
1,Fine-tuned RuBERT,recall,macro avg,0.8305
1,Base mBERT,recall,macro avg,0.7718
1,Fine-tuned mBERT,recall,macro avg,0.8201
1,Base distil-mBERT,recall,weighted avg,0.8133
1,Fine-tuned distil-mBERT,recall,weighted avg,0.8361
1,Base RuBERT,recall,weighted avg,0.7495
1,Fine-tuned RuBERT,recall,weighted avg,0.8388
1,Base mBERT,recall,weighted avg,0.8005
1,Fine-tuned mBERT,recall,weighted avg,0.8379
1,Base distil-mBERT,f1-score,negative,0.6943
1,Fine-tuned distil-mBERT,f1-score,negative,0.7445
1,Base RuBERT,f1-score,negative,0.6141
1,Fine-tuned RuBERT,f1-score,negative,0.7483
1,Base mBERT,f1-score,negative,0.6711
1,Fine-tuned mBERT,f1-score,negative,0.7309
1,Base distil-mBERT,f1-score,neutral,0.8945
1,Fine-tuned distil-mBERT,f1-score,neutral,0.9011
1,Base RuBERT,f1-score,neutral,0.8702
1,Fine-tuned RuBERT,f1-score,neutral,0.8971
1,Base mBERT,f1-score,neutral,0.8995
1,Fine-tuned mBERT,f1-score,neutral,0.9106
1,Base distil-mBERT,f1-score,positive,0.7361
1,Fine-tuned distil-mBERT,f1-score,positive,0.7772
1,Base RuBERT,f1-score,positive,0.6056
1,Fine-tuned RuBERT,f1-score,positive,0.7912
1,Base mBERT,f1-score,positive,0.6993
1,Fine-tuned mBERT,f1-score,positive,0.7703
1,Base distil-mBERT,f1-score,macro avg,0.775
1,Fine-tuned distil-mBERT,f1-score,macro avg,0.8076
1,Base RuBERT,f1-score,macro avg,0.6966
1,Fine-tuned RuBERT,f1-score,macro avg,0.8122
1,Base mBERT,f1-score,macro avg,0.7566
1,Fine-tuned mBERT,f1-score,macro avg,0.8039
1,Base distil-mBERT,f1-score,weighted avg,0.8164
1,Fine-tuned distil-mBERT,f1-score,weighted avg,0.84
1,Base RuBERT,f1-score,weighted avg,0.7539
1,Fine-tuned RuBERT,f1-score,weighted avg,0.8421
1,Base mBERT,f1-score,weighted avg,0.8052
1,Fine-tuned mBERT,f1-score,weighted avg,0.841
1,Base distil-mBERT,accuracy,,0.8133
1,Fine-tuned distil-mBERT,accuracy,,0.8361
1,Base RuBERT,accuracy,,0.7495
1,Fine-tuned RuBERT,accuracy,,0.8388
1,Base mBERT,accuracy,,0.8005
1,Fine-tuned mBERT,accuracy,,0.8379
2,Base distil-mBERT,precision,negative,0.6199
2,Fine-tuned distil-mBERT,precision,negative,0.6732
2,Base RuBERT,precision,negative,0.5152
2,Fine-tuned RuBERT,precision,negative,0.7095
2,Base mBERT,precision,negative,0.5843
2,Fine-tuned mBERT,precision,negative,0.6159
2,Base distil-mBERT,precision,neutral,0.9193
2,Fine-tuned distil-mBERT,precision,neutral,0.9424
2,Base RuBERT,precision,neutral,0.9279
2,Fine-tuned RuBERT,precision,neutral,0.9142
2,Base mBERT,precision,neutral,0.9397
2,Fine-tuned mBERT,precision,neutral,0.9382
2,Base distil-mBERT,precision,positive,0.7626
2,Fine-tuned distil-mBERT,precision,positive,0.7649
2,Base RuBERT,precision,positive,0.6689
2,Fine-tuned RuBERT,precision,positive,0.7727
2,Base mBERT,precision,positive,0.7116
2,Fine-tuned mBERT,precision,positive,0.7206
2,Base distil-mBERT,precision,macro avg,0.7673
2,Fine-tuned distil-mBERT,precision,macro avg,0.7935
2,Base RuBERT,precision,macro avg,0.704
2,Fine-tuned RuBERT,precision,macro avg,0.7988
2,Base mBERT,precision,macro avg,0.7452
2,Fine-tuned mBERT,precision,macro avg,0.7582
2,Base distil-mBERT,precision,weighted avg,0.8237
2,Fine-tuned distil-mBERT,precision,weighted avg,0.8467
2,Base RuBERT,precision,weighted avg,0.7847
2,Fine-tuned RuBERT,precision,weighted avg,0.8397
2,Base mBERT,precision,weighted avg,0.815
2,Fine-tuned mBERT,precision,weighted avg,0.8223
2,Base distil-mBERT,recall,negative,0.8442
2,Fine-tuned distil-mBERT,recall,negative,0.8693
2,Base RuBERT,recall,negative,0.6834
2,Fine-tuned RuBERT,recall,negative,0.8593
2,Base mBERT,recall,negative,0.7839
2,Fine-tuned mBERT,recall,negative,0.8543
2,Base distil-mBERT,recall,neutral,0.8604
2,Fine-tuned distil-mBERT,recall,neutral,0.8604
